City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
108,balabac,7.9868,117.0645,27.09,81,100,2.44,PH,1733406534
109,ilulissat,69.2167,-51.1,-10.99,67,100,5.66,GL,1733406535
110,touros,-5.1989,-35.4608,29.95,56,12,6.62,BR,1733406536
111,san antonio de pale,-1.4014,5.6325,26.64,77,19,3.09,GQ,1733406538
112,pantai remis,4.4557,100.6288,28.01,85,99,1.26,MY,1733406539
113,sumbe,-11.2061,13.8437,25.77,80,100,1.48,AO,1733406540
114,la sarre,48.8002,-79.1996,-5.81,93,100,7.0,CA,1733406541
115,kone,-21.0595,164.8658,24.25,80,30,1.63,NC,1733406542
116,le morne-rouge,14.7667,-61.1333,25.38,75,15,8.04,MQ,1733406543
117,jamestown,42.097,-79.2353,-2.2,100,100,6.17,US,1733406484
118,brande,55.9381,9.1218,4.09,82,94,8.86,DK,1733406545
119,selkirk,50.1436,-96.8845,-18.23,88,99,0.89,CA,1733406385
120,hasaki,35.7333,140.8333,13.51,47,23,3.72,JP,1733406548
121,sinop,41.7711,34.8709,6.39,92,93,0.7,TR,1733406299
122,talnakh,69.4865,88.3972,-16.13,98,100,1.33,RU,1733406550
123,korla,41.7597,86.1469,-0.46,68,4,2.3,CN,1733406551
124,alappuzha,9.49,76.3264,26.31,82,10,1.28,IN,1733406552
125,georgetown,5.4112,100.3354,26.96,82,40,3.13,MY,1733406553
126,qaqortoq,60.7167,-46.0333,-14.4,82,24,3.54,GL,1733406554
127,uyar,55.81,94.3153,-3.63,85,100,4.07,RU,1733406556
128,newman,37.3138,-121.0208,10.13,79,100,0.71,US,1733406557
129,isangel,-19.55,169.2667,24.49,92,21,2.01,VU,1733406558
130,zvezdnyy,57.7325,56.3147,-2.67,84,100,5.07,RU,1733406559
131,iquique,-20.2208,-70.1431,20.64,70,100,3.67,CL,1733406238
132,lazaro cardenas,17.9583,-102.2,23.39,74,8,1.83,MX,1733406561
133,richards bay,-28.783,32.0377,27.28,78,98,5.06,ZA,1733406562
134,mount isa,-20.7333,139.5,25.87,89,0,2.57,AU,1733406563
135,safi,32.1667,-8.8333,21.23,36,89,7.23,MA,1733406565
136,hilo,19.7297,-155.09,21.17,88,100,2.57,US,1733406566
137,villa de leyva,5.645,-73.5667,20.48,67,78,0.26,CO,1733406567
138,fort bragg,35.139,-79.006,11.06,59,0,6.17,US,1733406568
139,udachny,66.4167,112.4,-26.38,99,55,3.14,RU,1733406569
140,goz beida,13.95,20.55,33.59,11,0,3.5,TD,1733406570
141,tolanaro,-25.0319,46.9987,31.04,62,20,8.23,MG,1733406572
142,puerto leguizamo,-0.1934,-74.7819,27.98,73,96,1.22,CO,1733406573
143,rio preto da eva,-2.6994,-59.6997,27.84,82,88,2.31,BR,1733406574
144,valparaiso,-33.0393,-71.6273,20.63,46,40,3.6,CL,1733406540
145,ciudad gustavo diaz ordaz,26.2333,-98.5833,17.36,85,100,3.07,MX,1733406576
146,longyearbyen,78.2186,15.6401,-9.09,62,20,6.69,SJ,1733406578
147,bilibino,68.0546,166.4372,-22.4,99,54,2.06,RU,1733406579
148,saint-jean-de-monts,46.7833,-2.0667,14.45,97,100,8.55,FR,1733406580
149,nikol'sk,53.7189,46.0712,-8.21,95,17,2.74,RU,1733406581
150,porto torres,40.835,8.3972,15.1,57,69,1.88,IT,1733406582
151,hithadhoo,-0.6,73.0833,27.68,77,44,4.77,MV,1733406583
152,behshahr,36.6923,53.5526,9.16,65,6,1.3,IR,1733406584
